Area,Age,Gender,Population,
MountPleasant,80-84 years,Male,95,
MountPleasant,85+,Male,85,
MountPleasant,0-4 years,Female,590,
MountPleasant,5-9 years,Female,325,
MountPleasant,10-14 years,Female,305,
MountPleasant,15-19 years,Female,315,
MountPleasant,15 years,Female,65,
MountPleasant,16 years,Female,50,
MountPleasant,17 years,Female,60,
MountPleasant,18 years,Female,60,
MountPleasant,19 years,Female,80,
MountPleasant,20-24 years,Female,985,
MountPleasant,25-29 years,Female,"2,065",
MountPleasant,30-34 years,Female,"1,970",
MountPleasant,35-39 years,Female,"1,480",
MountPleasant,40-44 years,Female,"1,120",
MountPleasant,45-49 years,Female,"1,010",
MountPleasant,50-54 years,Female,860,
MountPleasant,55-59 years,Female,710,
MountPleasant,60-64 years,Female,635,
MountPleasant,65-69 years,Female,315,
MountPleasant,70-74 years,Female,275,
MountPleasant,75-79 years,Female,185,
MountPleasant,80-84 years,Female,155,
MountPleasant,85+,Female,195,
Oakridge,0-4 years,Male,180,
Oakridge,5-9 years,Male,260,
Oakridge,10-14 years,Male,305,
Oakridge,15-19 years,Male,495,
Oakridge,15 years,Male,80,
Oakridge,16 years,Male,90,
Oakridge,17 years,Male,100,
Oakridge,18 years,Male,105,
Oakridge,19 years,Male,120,
Oakridge,20-24 years,Male,465,
Oakridge,25-29 years,Male,375,
Oakridge,30-34 years,Male,280,
Oakridge,35-39 years,Male,235,
Oakridge,40-44 years,Male,340,
Oakridge,45-49 years,Male,485,
Oakridge,50-54 years,Male,425,
Oakridge,55-59 years,Male,410,
Oakridge,60-64 years,Male,375,
Oakridge,65-69 years,Male,280,
Oakridge,70-74 years,Male,210,
Oakridge,75-79 years,Male,220,
Oakridge,80-84 years,Male,185,
Oakridge,85+,Male,200,
Oakridge,0-4 years,Female,170,
Oakridge,5-9 years,Female,230,
Oakridge,10-14 years,Female,335,
Oakridge,15-19 years,Female,440,
Oakridge,15 years,Female,80,
Oakridge,16 years,Female,70,
Oakridge,17 years,Female,75,
Oakridge,18 years,Female,120,
Oakridge,19 years,Female,95,
Oakridge,20-24 years,Female,510,
Oakridge,25-29 years,Female,390,
Oakridge,30-34 years,Female,310,
Oakridge,35-39 years,Female,325,
Oakridge,40-44 years,Female,510,
Oakridge,45-49 years,Female,610,
Oakridge,50-54 years,Female,530,
Oakridge,55-59 years,Female,460,
Oakridge,60-64 years,Female,485,
Oakridge,65-69 years,Female,265,
Oakridge,70-74 years,Female,250,
Oakridge,75-79 years,Female,280,
Oakridge,80-84 years,Female,280,
Oakridge,85+,Female,330,
Renfrew-Collingwood,0-4 years,Male,"1,220",
Renfrew-Collingwood,5-9 years,Male,"1,120",
Renfrew-Collingwood,10-14 years,Male,"1,265",
Renfrew-Collingwood,15-19 years,Male,"1,635",
Renfrew-Collingwood,15 years,Male,315,
Renfrew-Collingwood,16 years,Male,315,
Renfrew-Collingwood,17 years,Male,295,
Renfrew-Collingwood,18 years,Male,345,
Renfrew-Collingwood,19 years,Male,370,
Renfrew-Collingwood,20-24 years,Male,"2,180",
Renfrew-Collingwood,25-29 years,Male,"2,240",
Renfrew-Collingwood,30-34 years,Male,"1,765",
Renfrew-Collingwood,35-39 years,Male,"1,660",
Renfrew-Collingwood,40-44 years,Male,"1,755",
Renfrew-Collingwood,45-49 years,Male,"2,020",
Renfrew-Collingwood,50-54 years,Male,"1,800",
Renfrew-Collingwood,55-59 years,Male,"1,540",
Renfrew-Collingwood,60-64 years,Male,"1,345",
Renfrew-Collingwood,65-69 years,Male,790,
